"name","genre","creative.type","production.method","revenue.inf"
"Avatar","Action","Science Fiction","Animation/Live Action",826.19813
"Titanic","Thriller/Suspense","Historical Fiction","Live Action",1139.182838
"Jurassic World","Action","Science Fiction","Live Action",651.443635
"The Avengers","Adventure","Super Hero","Animation/Live Action",655.383136
"Furious 7","Action","Contemporary Fiction","Live Action",351.03291
"The Avengers: Age of Ultron","Action","Super Hero","Live Action",459.005868
"Harry Potter and the Deathly Hallows: Part II","Adventure","Fantasy","Animation/Live Action",402.151808
"Frozen","Adventure","Kids Fiction","Digital Animation",412.043457
"Iron Man 3","Action","Super Hero","Animation/Live Action",421.06584
"Minions","Comedy","Kids Fiction","Digital Animation",334.544425
"The Lord of the Rings: The Return of the King","Adventure","Fantasy","Animation/Live Action",520.711377
"Transformers: Dark of the Moon","Action","Science Fiction","Animation/Live Action",371.943105
"Skyfall","Action","Contemporary Fiction","Live Action",319.870983
"Transformers: Age of Extinction","Action","Science Fiction","Animation/Live Action",251.447372
"The Dark Knight Rises","Action","Super Hero","Live Action",471.221634
"Toy Story 3","Adventure","Kids Fiction","Digital Animation",440.252324
"Pirates of the Caribbean: Dead Man's Chest","Adventure","Fantasy","Live Action",540.93944
"Pirates of the Caribbean: On Stranger Tides","Adventure","Fantasy","Live Action",254.439421
"Jurassic Park","Action","Science Fiction","Animation/Live Action",755.387687
"Star Wars Ep. I: The Phantom Menace","Adventure","Science Fiction","Animation/Live Action",755.899504
"Alice in Wonderland","Adventure","Fantasy","Animation/Live Action",354.522122
"The Hobbit: An Unexpected Journey","Adventure","Fantasy","Animation/Live Action",317.749322
"The Dark Knight","Action","Super Hero","Live Action",621.624466
"The Lion King","Adventure","Kids Fiction","Hand Animation",756.219975
"Despicable Me 2","Comedy","Kids Fiction","Digital Animation",378.930222
"Harry Potter and the Sorcerers Stone","Adventure","Fantasy","Animation/Live Action",468.612897
"Pirates of the Caribbean: At World's End","Adventure","Historical Fiction","Live Action",376.431535
"The Hobbit: The Desolation of Smaug","Adventure","Fantasy","Animation/Live Action",265.846191
"Harry Potter and the Deathly Hallows: Part I","Adventure","Fantasy","Animation/Live Action",312.886528
"The Hobbit: The Battle of the Five Armies","Adventure","Fantasy","Live Action",260.520067
"Harry Potter and the Order of the Phoenix","Adventure","Fantasy","Animation/Live Action",355.244135
"Finding Nemo","Adventure","Kids Fiction","Digital Animation",514.460669
"Harry Potter and the Half-Blood Prince","Adventure","Fantasy","Animation/Live Action",336.986462
"The Lord of the Rings: The Two Towers","Adventure","Fantasy","Animation/Live Action",486.871693
"Shrek 2","Adventure","Kids Fiction","Digital Animation",588.287049
"Harry Potter and the Goblet of Fire","Adventure","Fantasy","Animation/Live Action",378.306289
"Spider-Man 3","Adventure","Super Hero","Live Action",409.412591
"The Lord of the Rings: The Fellowship of the Ring","Adventure","Fantasy","Animation/Live Action",460.54528
"Ice Age: Continental Drift","Adventure","Fantasy","Digital Animation",169.628538
"Harry Potter and the Chamber of Secrets","Adventure","Fantasy","Animation/Live Action",376.584346
"The Hunger Games: Catching Fire","Adventure","Science Fiction","Live Action",437.11601
"Ice Age: Dawn of the Dinosaurs","Adventure","Kids Fiction","Digital Animation",219.376252
"Star Wars Ep. III: Revenge of the Sith","Adventure","Science Fiction","Animation/Live Action",496.536289
"Transformers: Revenge of the Fallen","Action","Science Fiction","Animation/Live Action",448.756847
"Inception","Thriller/Suspense","Science Fiction","Animation/Live Action",310.375461
"Inside Out","Adventure","Kids Fiction","Digital Animation",354.935066
"The Twilight Saga: Breaking Dawn, Part 2","Drama","Fantasy","Live Action",307.31148
