"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Artiodactyla","Bovidae","Addax","Addax nasomaculatus","Nocturnal",12.62,"Herbivore"
"Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus","Diurnal",15.25,"Herbivore"
"Artiodactyla","Bovidae","Alcelaphus","Alcelaphus buselaphus","Diurnal",20,"Herbivore"
"Artiodactyla","Cervidae","Alces","Alces alces","Crepuscular",1,"Herbivore"
"Primates","Cheirogaleidae","Allocebus","Allocebus trichotis","Crepuscular",1,"Omnivore"
"Primates","Cebidae","Alouatta","Alouatta caraya","Diurnal",8.9,"Herbivore"
"Primates","Cebidae","Alouatta","Alouatta fusca","Diurnal",7.4,"Herbivore"
"Primates","Cebidae","Alouatta","Alouatta palliata","Diurnal",13.1,"Herbivore"
"Primates","Cebidae","Alouatta","Alouatta pigra","Diurnal",5.5,"Herbivore"
"Primates","Cebidae","Alouatta","Alouatta seniculus","Diurnal",7.9,"Omnivore"
"Insectivora","Chrysochloridae","Amblysomus","Amblysomus hottentotus","Crepuscular",1,"Omnivore"
"Rodentia","Sciuridae","Ammospermophilus","Ammospermophilus nelsoni","Diurnal",7,"Omnivore"
"Primates","Cebidae","Aotus","Aotus azarai","Nocturnal",4.1,"Omnivore"
"Primates","Cebidae","Aotus","Aotus nancymaae","Nocturnal",4,"Omnivore"
"Primates","Cebidae","Aotus","Aotus nigriceps","Nocturnal",3.3,"Omnivore"
"Primates","Cebidae","Aotus","Aotus trivirgatus","Nocturnal",3.15,"Omnivore"
"Primates","Cebidae","Aotus","Aotus vociferans","Nocturnal",3.3,"Herbivore"
"Rodentia","Muridae","Arborimus","Arborimus longicaudus","Nocturnal",1,"Herbivore"
"Primates","Loridae","Arctocebus","Arctocebus calabarensis","Nocturnal",1,"Omnivore"
"Primates","Cebidae","Ateles","Ateles belzebuth","Diurnal",14.5,"Herbivore"
"Primates","Cebidae","Ateles","Ateles geoffroyi","Diurnal",42,"Herbivore"
"Primates","Cebidae","Ateles","Ateles paniscus","Diurnal",20,"Omnivore"
"Primates","Indridae","Avahi","Avahi laniger","Crepuscular",2.25,"Herbivore"
"Artiodactyla","Suidae","Babyrousa","Babyrousa babyrussa","Diurnal",4.5,"Omnivore"
"Artiodactyla","Bovidae","Bubalus","Bubalus depressicornis","Diurnal",1,"Herbivore"
"Artiodactyla","Bovidae","Bison","Bison bison","Crepuscular",30,"Herbivore"
